Name,State,Latitude,Longitude,Status
Ensham,Queensland,-23.454464,148.497455,Operating
Enterprise,Western Australia,-30.3719,121.089,Operating
Ernest Henry,Queensland,-20.439829,140.70281,Operating
Eureka - Bardoc,Western Australia,-30.326916,121.254587,Developing Mine
Ewington,Western Australia,-33.3624,116.25,Operating
Extension Hill,Western Australia,-29.5983,117.1883,Care and maintenance
Fingal Rail,Tasmania,-41.8253,147.5076,Developing Mine
Fingerboards,Victoria,-37.79094,147.311233,Developing Mine
Finniss,Western Australia,-12.695,130.791,Developing Mine
Firetail,Western Australia,-22.128667,117.769485,Operating
Flying Fox,Western Australia,-32.418462,119.688987,Operating
Fortnum,Western Australia,-25.33,118.36,Operating
Fosterville,Victoria,-36.7163,144.5036,Operating
Four Mile,South Australia,-30.141667,139.529167,Operating
Foxleigh,Queensland,-22.997778,148.803889,Operating
Frances Creek,Northern Territory,-13.564163,131.850016,Operating
Frasers,Western Australia,-31.237,119.3312,Developing Mine
French Kiss,Western Australia,-31.2131,122.5764,Care and maintenance
Frog's Leg,Western Australia,-30.7616,121.2701,Operating
Gabanintha,Western Australia,-26.941848,118.632465,Developing Mine
Garden Well,Western Australia,-27.9064,122.356,Operating
Geko,Western Australia,-30.864091,120.899997,Operating
George Fisher,Queensland,-20.5711,139.472,Operating
Ginkgo-Crayfish-Snapper,New South Wales,-33.364405,142.225983,Operating
Glendell,New South Wales,-32.451192,151.077551,Operating
Golden Age,Western Australia,-26.6018,120.246,Operating
Golden Camel,Victoria,-36.6462,144.7371,Developing Mine
Golden Cities,Western Australia,-30.407235,121.396748,Operating
Golden Dragon,Western Australia,-28.9841,116.9578,Care and maintenance
Golden Grove,Western Australia,-28.7629,116.9848,Operating
Goondicum,Queensland,-24.855651,151.433858,Care and maintenance
Goonyella,Queensland,-21.792321,147.962045,Operating
Gove,Northern Territory,-12.261117,136.837017,Operating
Granite Belt,Queensland,-28.83055,151.29045,Care and maintenance
Granny Smith,Western Australia,-28.8112,122.4149,Operating
Granville East,Tasmania,-41.7978,145.0862,Care and maintenance
Grasstree,Queensland,-22.904117,148.549942,Operating
Greenbushes,Western Australia,-33.855846,116.06683,Operating
Gregory Crinum,Queensland,-23.172246,148.356348,Care and maintenance
Groote Eylandt,Northern Territory,-13.992158,136.445547,Operating
Grosvenor,Queensland,-21.873168,147.992728,Operating
Gruyere,Western Australia,-27.98443,123.845213,Operating
Gudai-Darri,Western Australia,-22.555946,119.023928,Developing Mine
Gwalia,Western Australia,-28.9185,121.334,Operating
Hail Creek,Queensland,-21.505383,148.406805,Operating
Hamlet,Western Australia,-31.4001,121.8122,Operating
Hampton-Boulder-Jubilee,Western Australia,-31.0276,121.6031,Operating
Haoma,Western Australia,-31.0119,121.9189,Operating
Hawkes Creek,Tasmania,-41.096,144.8844,Operating
Hellyer,Tasmania,-41.5746,145.7221,Operating
Henty,Tasmania,-41.8664,145.5574,Operating
Hera,New South Wales,-32.1107,146.3259,Operating
Hermes,Western Australia,-25.5845,118.9098,Care and maintenance
Hey Point,Queensland,-12.733,141.89,Care and maintenance
Higginsville,Western Australia,-31.7303,121.7377,Operating
Hillgrove,New South Wales,-30.5745,151.9009,Operating
Homestead,Western Australia,-30.5421,121.2283,Operating
Honeymoon,South Australia,-31.74095,140.662365,Care and maintenance
Honeymoon Well,Western Australia,-26.920375,120.379031,Developing Mine
Hope Downs,Western Australia,-22.94691,119.122931,Operating
Hunter Valley Operations,New South Wales,-32.5104,150.992,Operating
Huntly,Western Australia,-32.555795,116.166496,Operating
Integra,New South Wales,-32.468839,151.134981,Operating
Invincible,Western Australia,-31.3243,121.7451,Operating
Invincible,New South Wales,-33.326854,150.030003,Care and maintenance
Iron Bridge,Western Australia,-21.25186,119.0557,Developing Mine
Iron Hill,Western Australia,-29.603324,117.175361,Care and maintenance
Iron Ridge,Western Australia,-26.9455,117.6818,Operating
Iron Valley,Western Australia,-22.7201,119.3171,Operating
Isaac Plains,Queensland,-21.992,148.108,Operating
Jacinth-Ambrosia,South Australia,-30.861125,132.228669,Operating
Jack Hills,Western Australia,-26.05232,117.2414,Care and maintenance
Jaguar,Western Australia,-28.4446,121.1551,Operating
Janet Ivy,Western Australia,-30.7745,121.3834,Operating
Jaurdi,Western Australia,-30.68871,120.925,Operating
Jax,Queensland,-20.72,147.87,Operating
Jeebropilly,Queensland,-27.623017,152.659355,Care and maintenance
Jellinbah East,Queensland,-23.406874,148.950644,Operating
Jimblebar,Western Australia,-23.379259,120.139061,Operating
Julia Creek,Queensland,-20.7183,141.99358,Developing Mine
Jundee,Western Australia,-26.3725,120.6041,Operating
Jupiter,Western Australia,-28.8072,122.2192,Operating
Kalgoorlie (super pit),Western Australia,-30.7781,121.505,Operating
Kanmantoo,South Australia,-35.0919,139.0054,Developing Mine
Kanowna Belle,Western Australia,-30.6101,121.5761,Operating
Kara,Tasmania,-41.309996,145.772011,Operating
Karara,Western Australia,-29.16019,116.8005,Operating
Karlawindra,Western Australia,-23.7646,120.0997,Operating
Karonie,Western Australia,-31.034,122.56,Operating
Kestrel,Queensland,-23.241972,148.370306,Operating
Keysbrook,Western Australia,-32.46423,115.938797,Operating
King of the Hills,Western Australia,-28.6715,121.163,Developing Mine
King Vol,Queensland,-16.9363,144.2496,Care and maintenance
Kings,Western Australia,-22.17611,117.5217,Operating
Kogan Creek,Queensland,-26.895716,150.772631,Operating
Koolan Island,Western Australia,-16.127535,123.740184,Operating
Koolyanobbing,Western Australia,-30.8336,119.538,Operating
Korella,Queensland,-21.93875,139.975706,Developing Mine
Kulwin-Woornack,Victoria,-34.28029,143.3796,Care and maintenance
Kundana,Western Australia,-30.711143,121.231141,Operating
Kunwarara,Queensland,-22.8814,150.1869,Operating
Lady Annie,Queensland,-19.773053,139.044016,Operating
Lady Loretta,Queensland,-19.768589,139.070193,Operating
Lake Vermont,Queensland,-22.399002,148.438513,Operating
Lanfranchi,Western Australia,-31.50546,121.8429,Care and maintenance
Latrobe Valley,Victoria,-38.217553,146.4016,Developing Mine
Leinster,Western Australia,-27.788893,120.697235,Operating
Liddell,New South Wales,-32.391601,150.999883,Operating
Lindsay's Find,Western Australia,-30.3275,121.6917,Care and maintenance
Liontown,Queensland,-20.4095,146.0678,Developing Mine
Long,Western Australia,-31.178543,121.677505,Developing Mine
Lorena,Queensland,-20.7187,140.6487,Operating
Loy Yang,Victoria,-38.2347,146.564,Operating
Maddingley,Victoria,-37.704289,144.440161,Operating
Magellan,Western Australia,-26.517944,119.941926,Care and maintenance
Maggie Hays,Western Australia,-32.222472,120.516998,Developing Mine
Mandalong,New South Wales,-33.126841,151.449976,Operating
Mannering,New South Wales,-33.207823,151.534183,Care and maintenance
Manuka,New South Wales,-32.218054,145.732205,Developing Mine
Marandoo,Western Australia,-22.638099,118.138562,Operating
Marda,Western Australia,-30.2,119.26,Operating
Mariners,Western Australia,-31.627845,121.661257,Care and maintenance
Matilda,Western Australia,-26.7575,120.2149,Operating
Maules Creek,New South Wales,-30.545121,150.154234,Operating
Maxwells,Western Australia,-31.0809,122.1989,Operating
Maxwells - Inglewood,Victoria,-36.552,143.868,Operating
McArthur River,Northern Territory,-16.436,136.0985,Operating
Meekatharra,Western Australia,-26.589729,118.515336,Operating
Merlin,Northern Territory,-16.847948,136.345105,Care and maintenance
Merlin,Queensland,-21.653303,140.493067,Care and maintenance
Metropolitan,New South Wales,-34.184912,150.996569,Operating
Middleback Ranges,South Australia,-32.998,137.156,Operating
Middlemount,Queensland,-22.848131,148.631626,Operating
Miitel,Western Australia,-31.6278,121.6613,Care and maintenance
Millennium and Mavis Downs,Queensland,-22.025,148.213,Operating
Mindarie,South Australia,-34.795,140.2075,Care and maintenance
Mindijup,Western Australia,-34.7689,118.0768,Operating
Mineral Hill,New South Wales,-32.5755,146.9871,Operating
Minerva,Queensland,-23.921376,148.047135,Operating
Mining Area C,Western Australia,-22.92817,118.96431,Operating
Molyhil,Northern Territory,-22.757085,135.749305,Developing Mine
Monty,Western Australia,-25.559468,119.434427,Operating
Moolarben,New South Wales,-32.29,149.785,Operating
Moolart Well,Western Australia,-27.6112,122.3479,Operating
Moorvale,Queensland,-21.995517,148.35358,Operating
Moranbah North,Queensland,-21.871331,147.956742,Operating
Morningstar,Victoria,-37.5686,146.2456,Operating
Mount Boppy,New South Wales,-31.5618,146.3161,Operating
Mount Carbine,Queensland,-16.518296,145.131875,Operating
Mount Carlton,Queensland,-20.2716,147.5619,Operating
Mount Cattlin,Western Australia,-33.56241,120.038002,Operating
Mount Colin,Queensland,-20.7759,140.0445,Operating
Mount Garnet,Queensland,-17.6849,145.1126,Operating
Mount Holland,Western Australia,-32.087573,119.74847,Developing Mine
Mount Isa Copper,Queensland,-20.743392,139.478345,Operating
Mount Keith,Western Australia,-27.229599,120.54174,Operating
Mount Lindsay,Tasmania,-41.69731,145.32857,Developing Mine
